,,,,,,,,
,,,,,,,,
,Starting SOC,,,,,,,
,100% (10 MWh),,,,,,,
,,,,,,,,
,,,,,,,,
,Date/Time,Hour Ending,WFTANK Real-Time LMP,WFTANK Day-Ahead LMP,RRS (spinning reserve),REGUP,,
,45187.5,13, $	19.88 , $	35.56 , $	3.74 , $	5.59 ,,
,45187.5416666667,14, $	22.16 , $	36.23 , $	5.54 , $	6.98 ,,
,45187.5833333333,14, $	27.48 , $	38.98 , $	7.00 , $	7.33 ,,
,45187.625,16, $	28.18 , $	44.95 , $	9.99 , $	10.32 ,,
,45187.6666666667,17, $	41.69 , $	48.68 , $	10.00 , $	10.00 ,,
,45187.7083333333,17, $	28.97 , $	46.29 , $	10.00 , $	10.52 ,,
,45187.75,19, $	56.06 , $	64.12 , $	10.00 , $	12.86 ,,
,45187.7916666667,20, $	53.12 , $	62.01 , $	10.00 , $	10.33 ,,
,45187.8333333333,20, $	32.56 , $	30.95 , $	8.40 , $	1.98 ,,
,45187.875,22, $	24.27 , $	26.40 , $	5.26 , $	5.00 ,,
,45187.9166666667,23, $	17.94 , $	21.13 , $	5.39 , $	5.00 ,,
,45187.9583333333,23, $	15.19 , $	18.32 , $	3.99 , $	3.99 ,,
